FSR,IR
138.00,121.00
159.00,124.00
140.00,122.00
143.00,121.00
141.00,126.00
140.00,121.00
147.00,121.00
144.00,185.00
160.00,121.00
162.00,122.00
164.00,164.00
176.00,121.00
185.00,122.00
180.00,104.00
179.00,122.00
195.00,123.00
176.00,121.00
173.00,121.00
175.00,124.00
167.00,121.00
161.00,122.00
144.00,185.00
151.00,121.00
147.00,122.00
132.00,168.00
129.00,121.00
118.00,121.00
114.00,104.00
108.00,122.00
116.00,122.00
105.00,121.00
109.00,121.00
108.00,122.00
98.00,121.00
104.00,121.00
82.00,185.00
100.00,121.00
104.00,122.00
100.00,122.00
110.00,121.00
118.00,122.00
120.00,121.00
129.00,121.00
165.00,122.00
169.00,121.00
171.00,121.00
180.00,127.00
196.00,121.00
203.00,121.00
192.00,175.00
208.00,122.00
216.00,122.00
221.00,101.00
222.00,121.00
227.00,122.00
227.00,120.00
232.00,122.00
247.00,123.00
253.00,121.00
284.00,121.00
263.00,127.00
275.00,121.00
287.00,122.00
281.00,175.00
295.00,122.00
302.00,121.00
307.00,166.00
317.00,121.00
320.00,122.00
325.00,120.00
326.00,126.00
337.00,124.00
337.00,121.00
343.00,125.00
345.00,122.00
348.00,125.00
351.00,121.00
336.00,191.00
358.00,125.00
358.00,125.00
356.00,126.00
357.00,125.00
361.00,125.00
360.00,108.00
360.00,125.00
365.00,125.00
363.00,126.00
363.00,125.00
364.00,127.00
361.00,125.00
362.00,125.00
359.00,127.00
360.00,126.00
358.00,126.00
352.00,175.00
359.00,126.00
357.00,125.00
359.00,169.00
356.00,126.00
359.00,127.00
360.00,125.00
358.00,125.00
361.00,126.00
361.00,125.00
364.00,126.00
357.00,127.00
363.00,125.00
361.00,125.00
352.00,189.00
363.00,125.00
360.00,126.00
361.00,170.00
362.00,125.00
361.00,126.00
357.00,108.00
358.00,125.00
356.00,126.00
356.00,126.00
360.00,126.00
359.00,127.00
359.00,125.00
356.00,126.00
350.00,126.00
352.00,126.00
